Time	LIT0_freq	LIT1_freq	LIT2_freq	LIT3_freq	MID4_freq	MID5_freq	BIG6_freq	BIG7_freq	LIT0_util	LIT1_util	LIT2_util	LIT3_util	MID4_util	MID5_util	BIG6_util	BIG7_util	MIF_Freq	GPU_Freq	GPU_Load	BIG	MID	LITTLE	LIT_state	MID_state	BIG_state	GPU_state	TPU_state	batt_volt	batt_curr	LIT0_governer	LIT1_governer	LIT2_governer	LIT3_governer	MID4_governer	MID5_governer	BIG6_governer	BIG7_governer	LIT0_fw_freq	MID4_fw_freq	BIG6_fw_freq	EOL
0	1803000	1803000	1803000	1803000	799000	799000	1277000	1277000	9	4	5	6	4	3	0	0	676000	202	0	41000	43000	43000	0	0	0	0	0	4323281	-10937	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	553000	1277000	EOL
10	1803000	1803000	1803000	1803000	553000	553000	1277000	1277000	100	0	0	0	0	0	0	0	676000	202	0	41000	42000	43000	0	0	0	0	0	4323281	-10937	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	553000	1277000	EOL
20	1803000	1803000	1803000	1803000	400000	400000	1277000	1277000	100	0	0	0	50	0	0	0	676000	202	0	41000	42000	43000	0	0	0	0	0	4323281	-10937	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	553000	500000	EOL
30	1803000	1803000	1803000	1803000	553000	553000	500000	500000	100	0	0	0	0	0	0	0	421000	202	0	41000	42000	43000	0	0	0	0	0	4323281	-10937	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	400000	500000	EOL
40	1803000	1803000	1803000	1803000	400000	400000	500000	500000	100	0	50	0	0	0	0	0	421000	202	0	41000	42000	43000	0	0	0	0	0	4323281	-10937	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	400000	500000	EOL
50	1803000	1803000	1803000	1803000	400000	400000	500000	500000	100	0	0	0	0	0	0	0	421000	202	0	40000	42000	43000	0	0	0	0	0	4323281	-10937	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	400000	500000	EOL
60	1803000	1803000	1803000	1803000	400000	400000	500000	500000	100	0	0	0	50	0	0	0	421000	202	0	41000	42000	42000	0	0	0	0	0	4323281	-10937	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	400000	500000	EOL
70	1803000	1803000	1803000	1803000	400000	400000	500000	500000	100	0	0	0	0	0	0	0	421000	202	0	40000	42000	43000	0	0	0	0	0	4323281	-10937	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	400000	500000	EOL
80	1803000	1803000	1803000	1803000	400000	400000	500000	500000	100	0	0	0	0	0	0	0	421000	202	0	40000	42000	43000	0	0	0	0	0	4323281	-10937	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	400000	500000	EOL
90	1803000	1803000	1803000	1803000	400000	400000	500000	500000	100	0	0	0	50	0	0	0	421000	202	0	40000	42000	43000	0	0	0	0	0	4323281	-10937	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	1803000	400000	500000	EOL
