Time	LIT0_freq	LIT1_freq	LIT2_freq	LIT3_freq	MID4_freq	MID5_freq	BIG6_freq	BIG7_freq	LIT0_util	LIT1_util	LIT2_util	LIT3_util	MID4_util	MID5_util	BIG6_util	BIG7_util	MIF_Freq	GPU_Freq	GPU_Load	BIG	MID	LITTLE	LIT_state	MID_state	BIG_state	GPU_state	TPU_state	batt_volt	batt_curr	LIT0_governer	LIT1_governer	LIT2_governer	LIT3_governer	MID4_governer	MID5_governer	BIG6_governer	BIG7_governer	LIT0_fw_freq	MID4_fw_freq	BIG6_fw_freq	EOL
36	930000	930000	930000	930000	1328000	1328000	500000	500000	0	0	0	0	0	0	0	0	676000	202	0	36000	38000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	930000	1328000	500000	EOL
37	930000	930000	930000	930000	1328000	1328000	500000	500000	0	0	0	0	0	0	0	0	676000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	738000	1197000	500000	EOL
38	738000	738000	738000	738000	1197000	1197000	500000	500000	0	0	0	0	0	0	0	0	845000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	738000	1197000	500000	EOL
39	738000	738000	738000	738000	1197000	1197000	500000	500000	0	0	0	0	100	0	0	0	845000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	738000	1197000	500000	EOL
40	738000	738000	738000	738000	1197000	1197000	500000	500000	0	0	0	0	0	0	0	0	845000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	738000	1197000	500000	EOL
41	738000	738000	738000	738000	1197000	1197000	500000	500000	0	0	0	0	0	0	0	0	845000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	738000	1197000	500000	EOL
42	738000	738000	738000	738000	1197000	1197000	500000	500000	0	0	0	0	0	0	0	0	676000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	738000	1197000	500000	EOL
43	738000	738000	738000	738000	1197000	1197000	500000	500000	0	0	0	0	0	0	0	0	676000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	738000	1024000	500000	EOL
44	738000	738000	738000	738000	1024000	1024000	500000	500000	0	0	0	0	100	0	0	0	676000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	738000	1024000	500000	EOL
45	738000	738000	738000	738000	1024000	1024000	500000	500000	0	0	0	0	0	0	0	0	676000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	738000	1024000	500000	EOL
46	738000	738000	738000	738000	1024000	1024000	500000	500000	0	0	0	0	0	0	0	0	676000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	738000	1024000	500000	EOL
47	738000	738000	738000	738000	1024000	1024000	500000	500000	0	0	0	0	0	0	0	0	676000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	738000	1024000	500000	EOL
48	738000	738000	738000	738000	1024000	1024000	500000	500000	100	0	0	0	0	0	0	0	676000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	738000	1024000	500000	EOL
49	738000	738000	738000	738000	1024000	1024000	500000	500000	0	0	0	0	50	0	0	0	676000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	738000	1024000	500000	EOL
50	738000	738000	738000	738000	1024000	1024000	500000	500000	0	0	0	0	0	0	0	0	676000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	738000	1024000	500000	EOL
51	738000	738000	738000	738000	1024000	1024000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	738000	1024000	500000	EOL
52	738000	738000	738000	738000	1024000	1024000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	738000	1024000	500000	EOL
53	738000	738000	738000	738000	1024000	1024000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	738000	1024000	500000	EOL
54	738000	738000	738000	738000	1024000	1024000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	738000	1024000	500000	EOL
55	738000	738000	738000	738000	1024000	1024000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	738000	1024000	500000	EOL
56	738000	738000	738000	738000	1024000	1024000	500000	500000	0	0	0	0	0	0	0	0	676000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	738000	1024000	500000	EOL
57	738000	738000	738000	738000	1024000	1024000	500000	500000	0	0	0	0	100	0	0	0	676000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	574000	910000	500000	EOL
58	574000	574000	574000	574000	910000	910000	500000	500000	0	0	0	0	0	0	0	0	676000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	574000	910000	500000	EOL
59	574000	574000	574000	574000	910000	910000	500000	500000	0	0	0	0	0	0	0	0	676000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	574000	910000	500000	EOL
60	574000	574000	574000	574000	910000	910000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	574000	910000	500000	EOL
61	574000	574000	574000	574000	910000	910000	500000	500000	0	0	0	0	0	0	0	0	546000	202	0	36000	37000	37000	0	0	0	0	0	4325000	1562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	574000	910000	500000	EOL
