Time	LIT0_freq	LIT1_freq	LIT2_freq	LIT3_freq	MID4_freq	MID5_freq	BIG6_freq	BIG7_freq	LIT0_util	LIT1_util	LIT2_util	LIT3_util	MID4_util	MID5_util	BIG6_util	BIG7_util	MIF_Freq	GPU_Freq	GPU_Load	BIG	MID	LITTLE	LIT_state	MID_state	BIG_state	GPU_state	TPU_state	batt_volt	batt_curr	LIT0_governer	LIT1_governer	LIT2_governer	LIT3_governer	MID4_governer	MID5_governer	BIG6_governer	BIG7_governer	EOL
240	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
250	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
260	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
270	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
280	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
290	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
300	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
310	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
320	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
330	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
340	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	50	50	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
350	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
360	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	40000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
370	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
380	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
390	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
400	300000	300000	300000	300000	400000	400000	500000	500000	50	0	0	0	50	0	0	0	421000	202	0	39000	40000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
410	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
420	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4266406	760937	performance	performance	performance	performance	performance	performance	performance	performance	EOL
430	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
440	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
450	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
460	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
470	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
480	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
490	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
500	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	33	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
510	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
520	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
530	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
540	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
550	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	50	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
560	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
570	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	50	50	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
580	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
590	300000	300000	300000	300000	400000	400000	500000	500000	0	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
600	300000	300000	300000	300000	400000	400000	500000	500000	0	100	0	50	0	0	0	33	421000	202	0	38000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
610	300000	300000	300000	300000	400000	400000	500000	500000	50	0	0	0	0	0	0	0	421000	202	0	38000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
620	300000	300000	300000	300000	400000	400000	500000	500000	50	0	0	0	50	0	0	0	421000	202	0	39000	39000	39000	0	0	0	0	0	4265468	762187	performance	performance	performance	performance	performance	performance	performance	performance	EOL
