Time	LIT0_freq	LIT1_freq	LIT2_freq	LIT3_freq	MID4_freq	MID5_freq	BIG6_freq	BIG7_freq	LIT0_util	LIT1_util	LIT2_util	LIT3_util	MID4_util	MID5_util	BIG6_util	BIG7_util	MIF_Freq	GPU_Freq	GPU_Load	BIG	MID	LITTLE	LIT_state	MID_state	BIG_state	GPU_state	TPU_state	batt_volt	batt_curr	LIT0_governer	LIT1_governer	LIT2_governer	LIT3_governer	MID4_governer	MID5_governer	BIG6_governer	BIG7_governer	LIT0_fw_freq	MID4_fw_freq	BIG6_fw_freq	EOL
0	300000	300000	300000	300000	400000	400000	2850000	2850000	22	19	20	21	18	17	6	6	1716000	202	7	46000	42000	42000	0	0	0	0	0	4328750	-186562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	300000	400000	2850000	EOL
1	300000	300000	300000	300000	400000	400000	2850000	2850000	0	0	0	0	0	0	0	0	1352000	202	7	43000	41000	42000	0	0	0	0	0	4328750	-186562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	300000	400000	2850000	EOL
2	300000	300000	300000	300000	400000	400000	2850000	2850000	0	0	0	100	100	100	0	0	1352000	202	7	43000	41000	42000	0	0	0	0	0	4328750	-186562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	300000	400000	2850000	EOL
3	300000	300000	300000	300000	400000	400000	2850000	2850000	0	0	0	0	0	0	0	0	1716000	202	8	43000	42000	43000	0	0	0	0	0	4328750	-186562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	300000	400000	2850000	EOL
4	300000	300000	300000	300000	400000	400000	2850000	2850000	0	0	0	0	100	0	0	0	1716000	202	8	43000	42000	43000	0	0	0	0	0	4328750	-186562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	300000	400000	2850000	EOL
5	300000	300000	300000	300000	400000	400000	2850000	2850000	100	0	0	0	100	0	0	0	1014000	202	8	43000	42000	43000	0	0	0	0	0	4328750	-186562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	300000	400000	2850000	EOL
6	300000	300000	300000	300000	400000	400000	2850000	2850000	0	0	0	0	0	0	0	0	1014000	202	8	43000	42000	41000	0	0	0	0	0	4328750	-186562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	300000	400000	2850000	EOL
7	300000	300000	300000	300000	400000	400000	2850000	2850000	0	0	0	0	0	0	0	0	1014000	202	17	43000	42000	41000	0	0	0	0	0	4328750	-186562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	300000	400000	2850000	EOL
8	300000	300000	300000	300000	400000	400000	2850000	2850000	0	0	0	0	100	0	0	0	1014000	202	17	43000	42000	41000	0	0	0	0	0	4328750	-186562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	300000	400000	2850000	EOL
9	300000	300000	300000	300000	400000	400000	2850000	2850000	100	0	0	0	0	0	0	0	1014000	202	17	43000	42000	41000	0	0	0	0	0	4328750	-186562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	300000	400000	2850000	EOL
10	300000	300000	300000	300000	400000	400000	2850000	2850000	0	0	0	0	100	0	0	0	1014000	202	17	43000	42000	41000	0	0	0	0	0	4328750	-186562	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	sched_pixel	300000	400000	2850000	EOL
